NAME,ADDRESS,LATITUDE,LONGITUDE,AMENITY_TYPE,PHONE_NUMBER,ENVIRONMENT,COUNTER
Fountain location:George Park,southeast corner of park,49.212416999877455,-123.093601999410225,WaterFountain,null,Outdoor,0
Fountain location:George Wainborn Park,NE corner near seawall,49.271801999976837,-123.129792999386993,WaterFountain,null,Outdoor,0
Fountain location:Grandview Park - South of playground,By the Playground,49.273742028358697,-123.069867198131675,WaterFountain,null,Outdoor,0
Fountain location:Grandview Park - West of Stage,Close to the Stage,49.273572007234939,-123.070810532000039,WaterFountain,null,Outdoor,0
Fountain location:Granville Loop Park,,49.267127500233009,-123.137756000029853,WaterFountain,null,Outdoor,0
Fountain location:Grays Park,front of wading pool,49.240977000100543,-123.084994000076648,WaterFountain,null,Outdoor,0
Fountain location:Guelph Park,w-side of tennis courts,49.264220000239035,-123.095575000182777,WaterFountain,null,Outdoor,0
Fountain location:Harbour Green Park - In front of washrooms,near spray pool,49.290001000049273,-123.121693999818234,WaterFountain,null,Outdoor,0
Fountain location:Harbour Green Park - Viewpoint,"west, by seawall",49.291227999815774,-123.123269999934237,WaterFountain,null,Outdoor,0
Fountain location:Harbour Green Park - foot of Jervis Mews,foot of Jervis Mews,49.290538999652725,-123.123180000356840,WaterFountain,null,Outdoor,0
Fountain location:Hastings Community Park - SE of tennis courts,besides path leading to spray,49.280368999745860,-123.040624000508302,WaterFountain,null,Outdoor,0
Fountain location:Hastings Community Park - South of wading pool,besides wading pool,49.280379000053564,-123.038221000436621,WaterFountain,null,Outdoor,0
Fountain location:Hastings Park - Italian gardens,near skate park,49.283143999894286,-123.042959000439907,WaterFountain,null,Outdoor,0
Fountain location:Hastings Park -Plateau Sport Parks / Empire Fields,north of empire field,49.283708217798569,-123.033390574515195,WaterFountain,null,Outdoor,0
Fountain location:Hastings Park -Plateau Sport Parks / Empire Fields,field house at empire field,49.282562999772665,-123.034263999796877,WaterFountain,null,Outdoor,0
Fountain location:Hastings Park -Plateau Sport Parks / Empire Fields,East of playgrounds,49.282892040312653,-123.034500566517735,WaterFountain,null,Outdoor,0
Fountain location:Hastings Park -Plateau Sport Parks / Empire Fields,East of basketball courts,49.281735950430246,-123.034387066451558,WaterFountain,null,Outdoor,0
Fountain location:Hastings Park -Plateau Sport Parks / Empire Fields,empire field - soccer fields,49.282676516716059,-123.033258474076774,WaterFountain,null,Outdoor,0
Fountain location:Hillcrest Park - East side,,49.245662600117740,-123.106969000221795,WaterFountain,null,Outdoor,0
Fountain location:Hillcrest Park - North of playground,,49.244540443247132,-123.106375175058886,WaterFountain,null,Outdoor,0
Fountain location:Jericho Beach Park,,49.271908399996974,-123.191735999978306,WaterFountain,null,Outdoor,0
Fountain location:John Hendry (Trout Lake) Park,nearby beach,49.253929000163481,-123.061985999651611,WaterFountain,null,Outdoor,0
Fountain location:Jonathan Rogers Park,E-side of wading pool,49.264163999882555,-123.107514000503031,WaterFountain,null,Outdoor,0
Fountain location:Kaslo Park,SE corner of tennis courts,49.263953999694579,-123.045152000172564,WaterFountain,null,Outdoor,0
Fountain location:Kensington Park,between baseball diamond and parking lots,49.238138000273914,-123.074290000450745,WaterFountain,null,Outdoor,0
Fountain location:Kerrisdale Centennial Park,2nd N-side entrance,49.233331000024492,-123.157199999422971,WaterFountain,null,Outdoor,0
Fountain location:Killarney Park - E 45th Ave. @ Killarney St.,north plaza,49.229195000285230,-123.045343000283026,WaterFountain,null,Outdoor,0
Fountain location:Killarney Park - East of wading pool,in front of wading pool,49.227058999966673,-123.041881999428838,WaterFountain,null,Outdoor,0
